,epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives,traintime
0,0,0.9110895395278932,108.0,717.0,0.2656141817569732,0.9151679873466492,0.9862297773361206,719.0,7735.0,0.9400861859321594,23.0,116.0,0.1806061267852783,0.9435248374938964,0.9882712960243224,243.0,1938.0,132.82411489999998
1,1,0.9457916021347046,109.0,394.0,0.1798639744520187,0.9515255689620972,0.986102283000946,1042.0,7734.0,0.951724112033844,29.0,83.0,0.1676886975765228,0.958808958530426,0.9852116107940674,276.0,1932.0,104.4225155
2,2,0.9595861434936525,105.0,270.0,0.1286114156246185,0.9662837386131288,0.9866122603416444,1166.0,7738.0,0.9668103456497192,10.0,67.0,0.105560265481472,0.9667987823486328,0.9949005842208862,292.0,1951.0,108.4667015
3,3,0.9691777229309082,87.0,199.0,0.0880677476525306,0.9749842882156372,0.988907277584076,1237.0,7756.0,0.9719827771186828,12.0,53.0,0.0962786227464675,0.9735264778137208,0.9938806891441344,306.0,1949.0,105.99367500000005
4,4,0.9729496836662292,69.0,182.0,0.076294720172882,0.9771241545677184,0.9912023544311525,1254.0,7774.0,0.9693965315818788,3.0,68.0,0.0854040160775184,0.9664363265037536,0.9984701871871948,291.0,1958.0,104.72592730000002
5,5,0.9755361676216124,60.0,167.0,0.0704859122633934,0.9789937138557434,0.9923498630523682,1269.0,7783.0,0.978017270565033,22.0,29.0,0.0843096449971199,0.985264241695404,0.988781213760376,330.0,1939.0,106.1319641
6,6,0.9768294095993042,64.0,151.0,0.0652410089969635,0.9809584021568298,0.99183988571167,1285.0,7779.0,0.9762930870056152,17.0,38.0,0.0687383487820625,0.9808274507522584,0.9913309812545776,321.0,1944.0,104.10499370000002
7,7,0.9755361676216124,76.0,151.0,0.0630745068192482,0.9809295535087584,0.9903098344802856,1285.0,7767.0,0.9771551489830016,10.0,43.0,0.0826512351632118,0.9784352779388428,0.9949005842208862,316.0,1951.0,104.72265279999999
8,8,0.978014886379242,68.0,136.0,0.0581271573901176,0.9828087687492372,0.9913298487663268,1300.0,7775.0,0.9741379022598268,21.0,39.0,0.0977565720677375,0.9802930951118468,0.9892911911010742,320.0,1940.0,103.72943799999996
9,9,0.9802780747413636,56.0,127.0,0.0536573678255081,0.9839524626731871,0.9928598999977112,1309.0,7787.0,0.978017270565033,28.0,23.0,0.0509374998509883,0.9882413148880004,0.9857215881347656,336.0,1933.0,103.33273039999995
10,10,0.9844810962677002,46.0,98.0,0.0444288328289985,0.9875870943069458,0.9941349029541016,1338.0,7797.0,0.9771551489830016,8.0,45.0,0.0684083476662635,0.977477490901947,0.9959204196929932,314.0,1953.0,102.76908789999993
11,11,0.9825412034988404,59.0,103.0,0.0442315563559532,0.9869405627250672,0.9924773573875428,1333.0,7784.0,0.9853448271751404,15.0,19.0,0.0541731305420398,0.9903308153152466,0.9923508167266846,340.0,1946.0,103.84768299999996
12,12,0.985666573047638,43.0,90.0,0.039857842028141,0.9885931611061096,0.9945173859596252,1346.0,7800.0,0.982758641242981,17.0,23.0,0.0536989904940128,0.9883070588111876,0.9913309812545776,336.0,1944.0,105.87519930000008
13,13,0.9865286946296692,50.0,75.0,0.037370603531599,0.9904677271842957,0.9936248660087584,1361.0,7793.0,0.9814655184745787,13.0,30.0,0.0557807795703411,0.9848331809043884,0.9933707118034364,329.0,1948.0,103.28664289999983
14,14,0.9887918829917908,35.0,69.0,0.0334864780306816,0.9912403225898744,0.9955374002456664,1367.0,7808.0,0.9823275804519652,11.0,30.0,0.0566913075745105,0.9848484992980956,0.994390606880188,329.0,1950.0,102.08274469999992
